time,mac,neighborMac,neighborFlag,rssi,numTxPackets,numTxFailures,numRxPackets,mote_board,ngbr_board,distance
1478193645,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-63,63,1,2,huron,huron,3.41503261698
1478194544,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-63,63,1,1,huron,huron,3.41503261698
1478195443,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-57,63,1,2,huron,huron,3.41503261698
1478196346,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-54,61,0,2,huron,huron,3.41503261698
1478197244,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-61,62,0,2,huron,huron,3.41503261698
1478198145,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-54,61,0,1,huron,huron,3.41503261698
1478199045,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-56,62,0,2,huron,huron,3.41503261698
1478199943,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,62,0,2,huron,huron,3.41503261698
1478200845,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-57,60,0,2,huron,huron,3.41503261698
1478201744,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-57,62,0,2,huron,huron,3.41503261698
1478202643,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-55,62,1,1,huron,huron,3.41503261698
1478203545,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-59,61,0,2,huron,huron,3.41503261698
1478204446,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-54,62,0,2,huron,huron,3.41503261698
1478205345,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-56,61,0,2,huron,huron,3.41503261698
1478206244,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-58,62,0,2,huron,huron,3.41503261698
1478207143,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,63,2,1,huron,huron,3.41503261698
1478208045,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-57,61,0,2,huron,huron,3.41503261698
1478208944,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-56,62,0,2,huron,huron,3.41503261698
1478209845,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-59,60,0,2,huron,huron,3.41503261698
1478210745,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-54,63,1,1,huron,huron,3.41503261698
1478211646,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,63,1,2,huron,huron,3.41503261698
1478212545,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,62,0,2,huron,huron,3.41503261698
1478213444,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-57,62,1,2,huron,huron,3.41503261698
1478214346,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-54,62,1,2,huron,huron,3.41503261698
1478215245,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-57,62,0,1,huron,huron,3.41503261698
1478216143,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-56,61,0,2,huron,huron,3.41503261698
1478217045,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-54,63,2,2,huron,huron,3.41503261698
1478217944,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-59,62,0,2,huron,huron,3.41503261698
1478218845,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-57,61,0,2,huron,huron,3.41503261698
1478219745,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-58,63,2,1,huron,huron,3.41503261698
1478220646,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-54,62,1,2,huron,huron,3.41503261698
1478221545,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-57,62,0,2,huron,huron,3.41503261698
1478222444,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-56,62,0,2,huron,huron,3.41503261698
1478223346,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-56,60,0,1,huron,huron,3.41503261698
1478224245,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,63,1,2,huron,huron,3.41503261698
1478225144,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-57,63,1,2,huron,huron,3.41503261698
1478226046,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-58,61,0,2,huron,huron,3.41503261698
1478226945,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-54,64,2,2,huron,huron,3.41503261698
1478227846,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-58,64,3,1,huron,huron,3.41503261698
1478228746,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-54,62,0,2,huron,huron,3.41503261698
1478229644,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-58,62,0,2,huron,huron,3.41503261698
1478230546,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-57,61,0,2,huron,huron,3.41503261698
