time,mac,channel,rssi,txUnicastAttempts,txUnicastFailures,pdr,lat,long
1505673962,00-17-0d-00-00-38-06-d5,17,-93,14,0,100.0,-1,-1
1505673962,00-17-0d-00-00-38-06-d5,16,-93,14,0,100.0,-1,-1
1505673962,00-17-0d-00-00-38-06-d5,19,-93,22,0,100.0,-1,-1
1505673962,00-17-0d-00-00-38-06-d5,18,-90,11,0,100.0,-1,-1
1505673962,00-17-0d-00-00-38-06-d5,22,-93,16,0,100.0,-1,-1
1505673962,00-17-0d-00-00-38-06-d5,24,-90,17,0,100.0,-1,-1
1505673962,00-17-0d-00-00-38-06-d5,15,-93,15,0,100.0,-1,-1
1505673962,00-17-0d-00-00-38-06-d5,14,-93,18,1,94.4444444444,-1,-1
1505673962,00-17-0d-00-00-38-06-d5,23,-90,14,5,64.2857142857,-1,-1
1505675312,00-17-0d-00-00-38-06-d5,11,-93,13,1,92.3076923077,-1,-1
1505675312,00-17-0d-00-00-38-06-d5,25,-93,19,0,100.0,-1,-1
1505675312,00-17-0d-00-00-38-06-d5,13,-93,12,0,100.0,-1,-1
1505675312,00-17-0d-00-00-38-06-d5,12,-93,17,1,94.1176470588,-1,-1
1505675312,00-17-0d-00-00-38-06-d5,20,-93,20,1,95.0,-1,-1
1505675312,00-17-0d-00-00-38-06-d5,21,-93,10,0,100.0,-1,-1
1505675312,00-17-0d-00-00-38-06-d5,17,-93,17,0,100.0,-1,-1
1505675312,00-17-0d-00-00-38-06-d5,16,-93,10,0,100.0,-1,-1
1505675312,00-17-0d-00-00-38-06-d5,19,-93,17,0,100.0,-1,-1
1505675312,00-17-0d-00-00-38-06-d5,18,-93,14,0,100.0,-1,-1
1505675312,00-17-0d-00-00-38-06-d5,22,-93,19,1,94.7368421053,-1,-1
1505675312,00-17-0d-00-00-38-06-d5,24,-93,17,3,82.3529411765,-1,-1
1505675312,00-17-0d-00-00-38-06-d5,15,-93,17,0,100.0,-1,-1
1505675312,00-17-0d-00-00-38-06-d5,14,-93,18,1,94.4444444444,-1,-1
1505675312,00-17-0d-00-00-38-06-d5,23,-90,15,3,80.0,-1,-1
1505676663,00-17-0d-00-00-38-06-d5,11,-93,12,0,100.0,-1,-1
1505676663,00-17-0d-00-00-38-06-d5,25,-93,16,0,100.0,-1,-1
1505676663,00-17-0d-00-00-38-06-d5,13,-93,13,1,92.3076923077,-1,-1
1505676663,00-17-0d-00-00-38-06-d5,12,-93,16,1,93.75,-1,-1
1505676663,00-17-0d-00-00-38-06-d5,20,-93,14,1,92.8571428571,-1,-1
1505676663,00-17-0d-00-00-38-06-d5,21,-93,10,0,100.0,-1,-1
1505676663,00-17-0d-00-00-38-06-d5,17,-93,17,0,100.0,-1,-1
1505676663,00-17-0d-00-00-38-06-d5,16,-93,15,0,100.0,-1,-1
1505676663,00-17-0d-00-00-38-06-d5,19,-93,18,0,100.0,-1,-1
1505676663,00-17-0d-00-00-38-06-d5,18,-93,12,1,91.6666666667,-1,-1
1505676663,00-17-0d-00-00-38-06-d5,22,-93,16,0,100.0,-1,-1
1505676663,00-17-0d-00-00-38-06-d5,24,-91,17,0,100.0,-1,-1
1505676663,00-17-0d-00-00-38-06-d5,15,-93,18,0,100.0,-1,-1
1505676663,00-17-0d-00-00-38-06-d5,14,-93,16,0,100.0,-1,-1
1505676663,00-17-0d-00-00-38-06-d5,23,-91,17,1,94.1176470588,-1,-1
1505678012,00-17-0d-00-00-38-06-d5,11,-93,17,2,88.2352941176,-1,-1
1505678012,00-17-0d-00-00-38-06-d5,25,-93,18,2,88.8888888889,-1,-1
1505678012,00-17-0d-00-00-38-06-d5,13,-93,15,1,93.3333333333,-1,-1
1505678012,00-17-0d-00-00-38-06-d5,12,-93,14,1,92.8571428571,-1,-1
1505678012,00-17-0d-00-00-38-06-d5,20,-93,15,0,100.0,-1,-1
1505678012,00-17-0d-00-00-38-06-d5,21,-93,17,1,94.1176470588,-1,-1
